store_id,name,タイトルURL,star,review,pop_score,price,listrst_areagenre,場所,listrst_rvwcounttarget_URL,コメント
17006995,暖庵,https://tabelog.com/ishikawa/A1701/A170101/17006995/,3.03,3,4.200471914193268,2000.0," 金沢市 / 焼肉、居酒屋、ホルモン
            ","
            石川県金沢市もりの里2-2
          ",https://tabelog.com/ishikawa/A1701/A170101/17006995/dtlrvwlst/,
17007763,はなまるうどん イオンもりの里店,https://tabelog.com/ishikawa/A1701/A170101/17007763/,3.02,15,8.373217941164139,," 金沢市 / うどん
            ","
            石川県金沢市もりの里1-70 イオンもりの里 フードコート
          ",https://tabelog.com/ishikawa/A1701/A170101/17007763/dtlrvwlst/,暑くなろうがかけが好き
17010380,リンガーハット イオンもりの里店,https://tabelog.com/ishikawa/A1701/A170101/17010380/,3.03,15,8.400943828386536,," 金沢市 / ちゃんぽん
            ","
            石川県金沢市もりの里1-70 イオンもりの里 1F
          ",https://tabelog.com/ishikawa/A1701/A170101/17010380/dtlrvwlst/,長崎ちゃんぽんの予定がなぜか？冷しちゃんぽんに。
17012116,和牛焼肉 花燈,https://tabelog.com/ishikawa/A1701/A170101/17012116/,3.07,12,7.874394527406918,5000.0," 金沢市 / 焼肉、ホルモン
            ","
            石川県金沢市もりの里1-47
          ",https://tabelog.com/ishikawa/A1701/A170101/17012116/dtlrvwlst/,
17007209,チェルキオ,https://tabelog.com/ishikawa/A1701/A170101/17007209/,3.26,32,11.398614650380726,3000.0," 金沢市 / イタリアン、ヨーロッパ料理、ピザ
            ","
            石川県金沢市もりの里3-28
          ",https://tabelog.com/ishikawa/A1701/A170101/17007209/dtlrvwlst/,コスパの良いモチモチ生地のピザが美味しいイタリアン
17000161,印度家 金沢店,https://tabelog.com/ishikawa/A1701/A170101/17000161/,3.16,57,12.830999913326686,999.0," 金沢市 / インド料理、ビュッフェ
            ","
            石川県金沢市もりの里2-28
          ",https://tabelog.com/ishikawa/A1701/A170101/17000161/dtlrvwlst/,
17005192,エル・トレゾア,https://tabelog.com/ishikawa/A1701/A170101/17005192/,3.05,13,8.049124855326538,," 金沢市 / ケーキ、チョコレート
            ","
            石川県金沢市もりの里1-49 ヴィンテージやまや1F
          ",https://tabelog.com/ishikawa/A1701/A170101/17005192/dtlrvwlst/,
17005717,丸亀製麺 金沢もりの里店,https://tabelog.com/ishikawa/A1701/A170101/17005717/,3.04,27,10.12990171093262,999.0," 金沢市 / うどん、天丼
            ","
            石川県金沢市もりの里2-181
          ",https://tabelog.com/ishikawa/A1701/A170101/17005717/dtlrvwlst/,なんで？行列？
17000946,カレーのチャンピオン 金沢もりの里店,https://tabelog.com/ishikawa/A1701/A170101/17000946/,3.05,39,11.251082335047505,999.0," 金沢市 / カレー
            ","
            石川県金沢市もりの里2-185
          ",https://tabelog.com/ishikawa/A1701/A170101/17000946/dtlrvwlst/,
17014456,中國菜 西華房,https://tabelog.com/ishikawa/A1701/A170101/17014456/,3.43,19,10.275361698290189,4000.0," 金沢市 / 中華料理、四川料理
            ","
            石川県金沢市もりの里2-222
          ",https://tabelog.com/ishikawa/A1701/A170101/17014456/dtlrvwlst/,
17000761,餃子の王将 杜の里店,https://tabelog.com/ishikawa/A1701/A170101/17000761/,3.03,35,10.858062383522013,1000.0," 金沢市 / ラーメン、中華料理、餃子
            ","
            石川県金沢市もりの里3-244
          ",https://tabelog.com/ishikawa/A1701/A170101/17000761/dtlrvwlst/,
17013716,EARTH BURGER,https://tabelog.com/ishikawa/A1701/A170101/17013716/,3.15,12,8.07959047600384,1000.0," 金沢市 / ハンバーガー
            ","
            石川県金沢市もりの里1-127
          ",https://tabelog.com/ishikawa/A1701/A170101/17013716/dtlrvwlst/,初めての感動は無くなったケド。
17009944,吉野家 金沢もりの里店,https://tabelog.com/ishikawa/A1701/A170101/17009944/,3.01,11,7.47956901586188,," 金沢市 / 牛丼
            ","
            石川県金沢市もりの里1-60
          ",https://tabelog.com/ishikawa/A1701/A170101/17009944/dtlrvwlst/,暑い時には、麦とろ
17000872,サイゼリヤ 金沢杜の里店,https://tabelog.com/ishikawa/A1701/A170101/17000872/,3.01,16,8.52797216560921,999.0," 金沢市 / ファミレス、イタリアン、パスタ
            ","
            石川県金沢市もりの里2-221
          ",https://tabelog.com/ishikawa/A1701/A170101/17000872/dtlrvwlst/,サイゼリア♪
17002717,ビッグボーイ 金沢もりの里店,https://tabelog.com/ishikawa/A1701/A170101/17002717/,3.03,17,8.757826426425378,," 金沢市 / ファミレス、ハンバーグ、ステーキ
            ","
            石川県金沢市もりの里2丁目18番
          ",https://tabelog.com/ishikawa/A1701/A170101/17002717/dtlrvwlst/,
17008514,お好み焼き 古川 金沢もりの里店,https://tabelog.com/ishikawa/A1701/A170101/17008514/,3.16,22,9.908161722336114,1000.0," 金沢市 / お好み焼き
            ","
            石川県金沢市もりの里1-205
          ",https://tabelog.com/ishikawa/A1701/A170101/17008514/dtlrvwlst/,広島焼きを探す旅
17000937,マクドナルド イオン杜の里店,https://tabelog.com/ishikawa/A1701/A170101/17000937/,3.01,13,7.943562562141928,999.0," 金沢市 / ハンバーガー
            ","
            石川県金沢市もりの里1-70 イオンもりの里 1F
          ",https://tabelog.com/ishikawa/A1701/A170101/17000937/dtlrvwlst/,
17011604,ブーランジェリー パリカナ,https://tabelog.com/ishikawa/A1701/A170101/17011604/,3.45,65,14.454308859991167,," 金沢市 / パン
            ","
            石川県金沢市もりの里2-213 蛍の館 1F
          ",https://tabelog.com/ishikawa/A1701/A170101/17011604/dtlrvwlst/,フランス香るパン屋さん
17007122,コメダ珈琲店 金沢もりの里店,https://tabelog.com/ishikawa/A1701/A170101/17007122/,3.05,37,11.094637787165476,," 金沢市 / 喫茶店
            ","
            石川県金沢市もりの里1丁目208
          ",https://tabelog.com/ishikawa/A1701/A170101/17007122/dtlrvwlst/,コメダ珈琲のフードメニューは逆写真詐欺なので、ボリュームたっぷり最高です。
17006473,食彩夢　まほら,https://tabelog.com/ishikawa/A1701/A170101/17006473/,3.14,19,9.406599338959532,," 金沢市 / 日本料理
            ","
            石川県金沢市もりの里1丁目244-1
          ",https://tabelog.com/ishikawa/A1701/A170101/17006473/dtlrvwlst/,
17000132,第7ギョーザの店,https://tabelog.com/ishikawa/A1701/A170101/17000132/,3.49,850,23.54497832872108,1000.0," 金沢市 / 餃子
            ","
            石川県金沢市もりの里1-259
          ",https://tabelog.com/ishikawa/A1701/A170101/17000132/dtlrvwlst/,ホワイト餃子と焼き餃子
17014364,ペンギンベーカリー 金沢もりの里店,https://tabelog.com/ishikawa/A1701/A170101/17014364/,3.04,14,8.232472611350719,999.0," 金沢市 / パン
            ","
            石川県金沢市もりの里3-229
          ",https://tabelog.com/ishikawa/A1701/A170101/17014364/dtlrvwlst/,
17008373,秀,https://tabelog.com/ishikawa/A1701/A170101/17008373/,3.36,110,15.824021476409442,," 金沢市 / ラーメン
            ","
            石川県金沢市もりの里3-233
          ",https://tabelog.com/ishikawa/A1701/A170101/17008373/dtlrvwlst/,石川県民は濃いのがお好きｗ ( *´艸｀) 
17010608,中華そば大勝,https://tabelog.com/ishikawa/A1701/A170101/17010608/,3.25,47,12.581403285450646,1000.0," 金沢市 / ラーメン
            ","
            石川県金沢市もりの里1-202
          ",https://tabelog.com/ishikawa/A1701/A170101/17010608/dtlrvwlst/,
17006562,おやつ村 イオン杜の里店,https://tabelog.com/ishikawa/A1701/A170101/17006562/,3.02,4,4.860502495550983,," 金沢市 / お好み焼き、たこ焼き
            ","
            石川県金沢市もりの里1-70 イオンもりの里 1F
          ",https://tabelog.com/ishikawa/A1701/A170101/17006562/dtlrvwlst/,
17007168,串こよみ,https://tabelog.com/ishikawa/A1701/A170101/17007168/,3.02,5,5.411113597068726,," 金沢市 / 串焼き
            ","
            石川県金沢市もりの里3-231
          ",https://tabelog.com/ishikawa/A1701/A170101/17007168/dtlrvwlst/,
17010906,ニクルダイニング,https://tabelog.com/ishikawa/A1701/A170101/17010906/,3.03,3,4.200471914193268,2000.0," 金沢市 / ダイニングバー、創作料理、ステーキ
            ","
            石川県金沢市もりの里3-219
          ",https://tabelog.com/ishikawa/A1701/A170101/17010906/dtlrvwlst/,
17007715,鳥珍や もりの里店,https://tabelog.com/ishikawa/A1701/A170101/17007715/,3.01,7,6.259119040456305,," 金沢市 / 焼き鳥、鳥料理
            ","
            石川県金沢市もりの里3-217
          ",https://tabelog.com/ishikawa/A1701/A170101/17007715/dtlrvwlst/,
17008042,美福 イオンもりの里店,https://tabelog.com/ishikawa/A1701/A170101/17008042/,3.04,5,5.446948786453287,," 金沢市 / 和菓子
            ","
            石川県金沢市もりの里1-70 イオンもりの里 1F
          ",https://tabelog.com/ishikawa/A1701/A170101/17008042/dtlrvwlst/,
17007632,サーティワンアイスクリーム イオン杜の里店,https://tabelog.com/ishikawa/A1701/A170101/17007632/,3.01,9,6.930781129912078,," 金沢市 / ジェラート・アイスクリーム、クレープ・ガレット
            ","
            石川県金沢市もりの里1-70 イオンもりの里 1F
          ",https://tabelog.com/ishikawa/A1701/A170101/17007632/dtlrvwlst/,お日様が出て来てあったかい
17008369,剛力,https://tabelog.com/ishikawa/A1701/A170101/17008369/,3.03,9,6.976832831771959,999.0," 金沢市 / ラーメン、餃子、中華料理
            ","
            石川県金沢市もりの里2-2
          ",https://tabelog.com/ishikawa/A1701/A170101/17008369/dtlrvwlst/,かにみそラーメン
17007164,カンテボーレ 杜の里店,https://tabelog.com/ishikawa/A1701/A170101/17007164/,3.01,5,5.393196002376445,," 金沢市 / パン
            ","
            石川県金沢市もりの里1-70 イオンもりの里 1F
          ",https://tabelog.com/ishikawa/A1701/A170101/17007164/dtlrvwlst/,
17011058,イオンリカー 金沢杜の里店,https://tabelog.com/ishikawa/A1701/A170101/17011058/,3.0,1,2.0794415416798357,," 金沢市 / その他
            ","
            石川県金沢市もりの里1-70 イオンもりの里店 1F
          ",https://tabelog.com/ishikawa/A1701/A170101/17011058/dtlrvwlst/,
17015127,たい焼きなっちゃん,https://tabelog.com/ishikawa/A1701/A170101/17015127/,3.0,1,2.0794415416798357,," 金沢市 / たい焼き・大判焼き
            ","
            石川県金沢市もりの里3-86-1
          ",https://tabelog.com/ishikawa/A1701/A170101/17015127/dtlrvwlst/,
17013495,焼肉小山 もりの里店,https://tabelog.com/ishikawa/A1701/A170101/17013495/,3.03,4,4.876596874675323,1000.0," 金沢市 / 焼肉
            ","
            石川県金沢市もりの里1-127
          ",https://tabelog.com/ishikawa/A1701/A170101/17013495/dtlrvwlst/,
